packet_size,protocol,duration,network,label
1354,TCP,1755622024.120509,good,reel
74,TCP,1755622024.20445,good,reel
1354,TCP,1755622024.204515,good,reel
1414,TCP,1755622024.205458,good,reel
86,TCP,1755622024.260724,good,reel
74,TCP,1755622024.260724,good,reel
1354,TCP,1755622024.260773,good,reel
1354,TCP,1755622024.260773,good,reel
157,TCP,1755622024.307845,good,reel
54,TCP,1755622024.312683,good,reel
54,TCP,1755622024.348639,good,reel
54,TCP,1755622024.348943,good,reel
153,TCP,1755622024.348943,good,reel
623,TCP,1755622024.349571,good,reel
54,TCP,1755622024.360877,good,reel
54,TCP,1755622024.360877,good,reel
1414,TCP,1755622024.360922,good,reel
1414,TCP,1755622024.360922,good,reel
1414,TCP,1755622024.360922,good,reel
1414,TCP,1755622024.360922,good,reel
1414,TCP,1755622024.360922,good,reel
54,TCP,1755622024.368519,good,reel
1414,TCP,1755622024.368557,good,reel
1414,TCP,1755622024.368557,good,reel
74,TCP,1755622024.379372,good,reel
86,TCP,1755622024.382334,good,reel
1354,TCP,1755622024.382363,good,reel
54,TCP,1755622024.385222,good,reel
1414,TCP,1755622024.38526,good,reel
1414,TCP,1755622024.38526,good,reel
54,TCP,1755622024.426156,good,reel
86,TCP,1755622024.426156,good,reel
86,TCP,1755622024.426156,good,reel
1414,TCP,1755622024.426203,good,reel
1414,TCP,1755622024.426203,good,reel
1354,TCP,1755622024.42626,good,reel
66,TCP,1755622024.486258,good,reel
54,TCP,1755622024.486258,good,reel
1414,TCP,1755622024.486301,good,reel
1414,TCP,1755622024.486301,good,reel
54,TCP,1755622024.488484,good,reel
1414,TCP,1755622024.488492,good,reel
1414,TCP,1755622024.488492,good,reel
1326,TCP,1755622024.488492,good,reel
54,TCP,1755622024.491753,good,reel
1414,TCP,1755622024.491781,good,reel
1414,TCP,1755622024.491781,good,reel
54,TCP,1755622024.502864,good,reel
1414,TCP,1755622024.5055,good,reel
1414,TCP,1755622024.508595,good,reel
54,TCP,1755622024.508619,good,reel
1414,TCP,1755622024.510867,good,reel
1414,TCP,1755622024.512244,good,reel
968,TCP,1755622024.512244,good,reel
54,TCP,1755622024.512278,good,reel
128,TCP,1755622024.51255,good,reel
146,TCP,1755622024.512653,good,reel
1113,TCP,1755622024.51278,good,reel
54,TCP,1755622024.518053,good,reel
1414,TCP,1755622024.518115,good,reel
1414,TCP,1755622024.603496,good,reel
66,TCP,1755622024.60353,good,reel
86,TCP,1755622024.791527,good,reel
86,TCP,1755622024.791527,good,reel
86,TCP,1755622024.791527,good,reel
86,TCP,1755622024.791527,good,reel
86,TCP,1755622024.791527,good,reel
54,TCP,1755622024.791527,good,reel
1354,TCP,1755622024.791571,good,reel
1354,TCP,1755622024.791594,good,reel
1354,TCP,1755622024.791602,good,reel
1414,TCP,1755622024.791633,good,reel
1414,TCP,1755622024.791633,good,reel
93,TCP,1755622024.851644,good,reel
78,TCP,1755622024.851644,good,reel
54,TCP,1755622024.851644,good,reel
86,TCP,1755622024.851644,good,reel
86,TCP,1755622024.851644,good,reel
86,TCP,1755622024.851644,good,reel
54,TCP,1755622024.85169,good,reel
1279,TCP,1755622024.855558,good,reel
54,TCP,1755622024.872079,good,reel
1414,TCP,1755622024.872115,good,reel
1414,TCP,1755622024.872115,good,reel
54,TCP,1755622024.882358,good,reel
1414,TCP,1755622024.882392,good,reel
1414,TCP,1755622024.882392,good,reel
54,TCP,1755622024.913661,good,reel
1414,TCP,1755622024.913702,good,reel
1414,TCP,1755622024.913702,good,reel
1414,TCP,1755622024.913702,good,reel
54,TCP,1755622024.990025,good,reel
1414,TCP,1755622024.990073,good,reel
1414,TCP,1755622024.990073,good,reel
102,TCP,1755622025.018367,good,reel
106,TCP,1755622025.018513,good,reel
54,TCP,1755622025.037444,good,reel
513,TCP,1755622025.037444,good,reel
116,TCP,1755622025.037444,good,reel
54,TCP,1755622025.037512,good,reel
85,TCP,1755622025.037687,good,reel
74,TCP,1755622025.045748,good,reel
145,TCP,1755622025.04579,good,reel
85,TCP,1755622025.06682,good,reel
243,TCP,1755622025.06682,good,reel
85,TCP,1755622025.06682,good,reel
54,TCP,1755622025.066865,good,reel
54,TCP,1755622025.067769,good,reel
1414,TCP,1755622025.067789,good,reel
1414,TCP,1755622025.067789,good,reel
1414,TCP,1755622025.067789,good,reel
78,TCP,1755622025.082161,good,reel
54,TCP,1755622025.082161,good,reel
54,TCP,1755622025.082204,good,reel
232,TCP,1755622025.116706,good,reel
54,TCP,1755622025.141673,good,reel
1414,TCP,1755622025.141718,good,reel
1414,TCP,1755622025.141718,good,reel
74,TCP,1755622025.172519,good,reel
1414,TCP,1755622025.174243,good,reel
1414,TCP,1755622025.174243,good,reel
100,TCP,1755622025.174243,good,reel
54,TCP,1755622025.218656,good,reel
1414,TCP,1755622025.218693,good,reel
1414,TCP,1755622025.218693,good,reel
1414,TCP,1755622025.218693,good,reel
66,TCP,1755622025.219631,good,reel
153,TCP,1755622025.243164,good,reel
113,TCP,1755622025.243254,good,reel
54,TCP,1755622025.258364,good,reel
1414,TCP,1755622025.258409,good,reel
78,TCP,1755622025.260781,good,reel
54,TCP,1755622025.260781,good,reel
54,TCP,1755622025.260819,good,reel
54,TCP,1755622025.278538,good,reel
1414,TCP,1755622025.278578,good,reel
1414,TCP,1755622025.278578,good,reel
106,TCP,1755622025.329279,good,reel
102,TCP,1755622025.331377,good,reel
86,TCP,1755622025.331434,good,reel
54,TCP,1755622025.4065,good,reel
54,TCP,1755622025.4065,good,reel
1414,TCP,1755622025.406551,good,reel
1414,TCP,1755622025.406551,good,reel
1414,TCP,1755622025.406551,good,reel
1414,TCP,1755622025.406551,good,reel
85,TCP,1755622025.407614,good,reel
54,TCP,1755622025.413934,good,reel
54,TCP,1755622025.423962,good,reel
74,TCP,1755622025.424135,good,reel
74,TCP,1755622025.424214,good,reel
86,TCP,1755622025.438903,good,reel
1354,TCP,1755622025.438938,good,reel
