packet_size,protocol,duration,network,label
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
1292,UDP,1755622390.760758,good,non-reel
94,UDP,1755622390.761169,good,non-reel
94,UDP,1755622390.761224,good,non-reel
94,UDP,1755622390.761248,good,non-reel
94,UDP,1755622390.761298,good,non-reel
133,UDP,1755622390.770771,good,non-reel
85,UDP,1755622390.770771,good,non-reel
1287,UDP,1755622390.770771,good,non-reel
201,UDP,1755622390.770771,good,non-reel
179,UDP,1755622390.770771,good,non-reel
95,UDP,1755622390.771603,good,non-reel
105,UDP,1755622390.788902,good,non-reel
1292,UDP,1755622390.800518,good,non-reel
1292,UDP,1755622390.800666,good,non-reel
1292,UDP,1755622390.800948,good,non-reel
1292,UDP,1755622390.80099,good,non-reel
1292,UDP,1755622390.801253,good,non-reel
1292,UDP,1755622390.801253,good,non-reel
1292,UDP,1755622390.80155,good,non-reel
1292,UDP,1755622390.801592,good,non-reel
1292,UDP,1755622390.801899,good,non-reel
1292,UDP,1755622390.801952,good,non-reel
1292,UDP,1755622390.80215,good,non-reel
1292,UDP,1755622390.802194,good,non-reel
1292,UDP,1755622390.802528,good,non-reel
1292,UDP,1755622390.802528,good,non-reel
1292,UDP,1755622390.803059,good,non-reel
1292,UDP,1755622390.806008,good,non-reel
1292,UDP,1755622390.806008,good,non-reel
1292,UDP,1755622390.806252,good,non-reel
1292,UDP,1755622390.806289,good,non-reel
1292,UDP,1755622390.806536,good,non-reel
1292,UDP,1755622390.80669,good,non-reel
1292,UDP,1755622390.806951,good,non-reel
1292,UDP,1755622390.806951,good,non-reel
1292,UDP,1755622390.807157,good,non-reel
1292,UDP,1755622390.80729,good,non-reel
94,UDP,1755622390.807549,good,non-reel
1292,UDP,1755622390.80772,good,non-reel
1292,UDP,1755622390.80772,good,non-reel
1292,UDP,1755622390.80772,good,non-reel
95,UDP,1755622390.807759,good,non-reel
1292,UDP,1755622390.807933,good,non-reel
1292,UDP,1755622390.808191,good,non-reel
1292,UDP,1755622390.808236,good,non-reel
1292,UDP,1755622390.808399,good,non-reel
1292,UDP,1755622390.808531,good,non-reel
1292,UDP,1755622390.808667,good,non-reel
95,UDP,1755622390.809705,good,non-reel
1280,UDP,1755622390.810199,good,non-reel
1292,UDP,1755622390.810343,good,non-reel
1292,UDP,1755622390.810343,good,non-reel
1292,UDP,1755622390.810343,good,non-reel
1292,UDP,1755622390.810343,good,non-reel
1292,UDP,1755622390.810343,good,non-reel
1292,UDP,1755622390.810596,good,non-reel
1292,UDP,1755622390.810596,good,non-reel
1292,UDP,1755622390.810695,good,non-reel
95,UDP,1755622390.810739,good,non-reel
1292,UDP,1755622390.810995,good,non-reel
1292,UDP,1755622390.810995,good,non-reel
359,UDP,1755622390.81109,good,non-reel
96,UDP,1755622390.82007,good,non-reel
1292,UDP,1755622390.82165,good,non-reel
97,UDP,1755622390.822023,good,non-reel
867,UDP,1755622390.826908,good,non-reel
93,UDP,1755622390.827481,good,non-reel
1285,UDP,1755622390.828208,good,non-reel
110,UDP,1755622390.828251,good,non-reel
862,UDP,1755622390.828901,good,non-reel
1292,UDP,1755622390.838461,good,non-reel
1292,UDP,1755622390.838461,good,non-reel
1292,UDP,1755622390.838542,good,non-reel
1292,UDP,1755622390.838709,good,non-reel
96,UDP,1755622390.838799,good,non-reel
96,UDP,1755622390.838883,good,non-reel
96,UDP,1755622390.838901,good,non-reel
1292,UDP,1755622390.841224,good,non-reel
1292,UDP,1755622390.841224,good,non-reel
1292,UDP,1755622390.841454,good,non-reel
1292,UDP,1755622390.841454,good,non-reel
